x,y
-0.0,-0.0
-0.0,-0.0
-0.001,-0.001
-0.0,0.0
0.002,0.002
0.004,0.004
0.002,0.002
-0.0,-0.001
0.0,-0.0
0.003,0.003
0.005,0.005
0.004,0.004
0.001,0.001
0.001,0.001
0.001,0.001
-0.0,-0.0
-0.002,-0.002
-0.001,-0.001
0.005,0.02
0.017,0.076
0.029,0.145
0.027,0.187
0.019,0.182
0.015,0.158
0.019,0.148
0.02,0.151
0.01,0.143
0.032,0.11
0.094,0.085
0.152,0.088
0.176,0.112
0.166,0.135
0.137,0.136
0.117,0.122
0.119,0.112
0.133,0.102
0.146,0.078
0.143,0.04
0.131,-0.002
0.122,-0.038
0.115,-0.066
0.109,-0.089
0.103,-0.112
0.091,-0.131
0.076,-0.144
0.059,-0.152
0.043,-0.157
0.029,-0.165
0.014,-0.175
-0.003,-0.18
-0.017,-0.178
-0.028,-0.183
-0.041,-0.195
-0.057,-0.202
-0.073,-0.201
-0.088,-0.203
-0.099,-0.202
-0.105,-0.193
-0.118,-0.191
-0.139,-0.198
-0.15,-0.193
-0.142,-0.168
-0.145,-0.152
-0.169,-0.159
-0.199,-0.172
-0.224,-0.179
-0.233,-0.171
-0.229,-0.152
-0.225,-0.131
-0.239,-0.119
-0.255,-0.111
-0.243,-0.094
-0.219,-0.072
-0.218,-0.055
-0.244,-0.048
-0.273,-0.045
-0.283,-0.038
-0.276,-0.026
-0.256,-0.014
-0.228,0.0
-0.226,0.016
-0.256,0.034
-0.288,0.052
-0.295,0.068
-0.284,0.084
-0.279,0.1
-0.278,0.114
-0.257,0.115
-0.212,0.103
-0.169,0.09
-0.139,0.083
-0.122,0.079
-0.113,0.077
-0.109,0.076
-0.131,0.088
-0.173,0.113
-0.178,0.114
-0.163,0.106
-0.182,0.123
-0.214,0.148
-0.21,0.147
-0.165,0.115
-0.114,0.079
-0.096,0.066
-0.122,0.082
-0.166,0.107
-0.212,0.133
-0.255,0.16
-0.286,0.183
-0.295,0.196
-0.275,0.19
-0.238,0.172
-0.211,0.16
-0.193,0.151
-0.17,0.137
-0.134,0.117
-0.116,0.119
-0.127,0.149
-0.144,0.184
-0.152,0.212
-0.15,0.235
-0.148,0.257
-0.14,0.266
-0.121,0.26
-0.105,0.255
-0.097,0.26
-0.084,0.256
-0.058,0.235
-0.029,0.232
-0.005,0.254
0.012,0.285
0.028,0.309
0.046,0.324
0.063,0.335
0.078,0.333
